Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Hour,Day,Month,Cross_Border,Large_Transaction,Round_Amount,Sender_Frequency,Risk_Score
2019-01-01 00:12:00,100417200,8001B5CE0,9127B7340,A7CFB8EC0,3.39,US Dollar,3.39,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:07:00,80010CCC0,800123F70,8059F6840,8E24C0DD0,2.29,US Dollar,2.29,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:22:00,800319940,8004ED620,808519790,872ABC810,120.92,US Dollar,120.92,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:14:00,80010CCC0,8004ED6C0,812962800,86D135520,0.92,US Dollar,0.92,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:26:00,80029A010,8004F16C0,80029A010,8004F16C0,39.24,Euro,45.98,US Dollar,Credit Card,0,0,1,1,1,0,0,2,30
2019-01-01 00:26:00,80029A010,8004F16C0,899DFAB00,922F00B80,39.24,Euro,39.24,Euro,Credit Card,0,0,1,1,0,0,0,2,0
2019-01-01 00:16:00,8001FF910,8004F73B0,81496AAF0,872ABC7C0,168.05,US Dollar,168.05,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:22:00,80010C840,8004F89A0,82E7CE730,83EEDD580,45.36,US Dollar,45.36,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:10:00,80053C4D0,800A04630,91B51D640,A74CFA880,80.85,US Dollar,80.85,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:14:00,8003044E0,800DC85E0,863FCB240,AF8F43DF0,88.53,US Dollar,88.53,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:19:00,80029A010,800F5C350,82DF3D110,886579890,12.11,US Dollar,12.11,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:09:00,8005F7120,800F5C3F0,88A043B10,9BFAD4C90,18.6,US Dollar,18.6,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:28:00,800A67B70,800F5C6E0,9C9068810,B009A09E0,34.35,US Dollar,34.35,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:15:00,80010C0F0,800F5CCB0,A24143E10,A625F4F00,77.65,US Dollar,77.65,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:14:00,800933C00,800F5CFB0,9F08747B0,AED64BC20,0.77,US Dollar,0.77,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:15:00,80031EBD0,800F5EE30,863FCB240,AF8F43DF0,166.7,US Dollar,166.7,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:22:00,800B44D80,800F5F460,863FCB240,AF8F43DF0,87.83,US Dollar,87.83,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:23:00,80059A830,800F5F4E0,9C9068810,B009A09E0,4.54,US Dollar,4.54,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:00:00,8005F7120,800F77790,8B78C35D0,AC47EB7A0,2.16,US Dollar,2.16,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:02:00,8001B5DA0,800FE52F0,847FA3750,A0691B470,41.21,US Dollar,41.21,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:15:00,800D06970,800FE56D0,869BA4FE0,90326A6E0,287.65,US Dollar,287.65,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:01:00,800228A70,800FE9310,800228A70,800FE9310,29.62,Euro,34.7,US Dollar,Credit Card,0,0,1,1,1,0,0,2,30
2019-01-01 00:01:00,800228A70,800FE9310,958CCA0F0,AB42ADE30,29.62,Euro,29.62,Euro,Credit Card,0,0,1,1,0,0,0,2,0
2019-01-01 00:25:00,800BDE480,80109F8D0,8E18E4650,A0691AFC0,44.02,US Dollar,44.02,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:25:00,8001B5DA0,80109FCC0,847FA3750,A0691B470,21.65,US Dollar,21.65,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:12:00,8003044E0,8010BBEB0,90ACA5CE0,930EDB7E0,3.27,US Dollar,3.27,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:20:00,80010CCC0,8010BD040,838E22060,9EBA7ED50,7.96,US Dollar,7.96,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:06:00,800BDE480,8014447F0,83C2BD3D0,84FC8C2B0,68.16,US Dollar,68.16,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:06:00,8013064A0,801500820,838E22060,9EBA7ED50,16.7,US Dollar,16.7,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:18:00,80010C840,8015782B0,814500F30,95D87AAC0,46.57,US Dollar,46.57,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:17:00,800898150,8015FEF70,953AEE030,A1AFF6990,48.81,US Dollar,48.81,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:29:00,8004A6B50,801601780,827F60E80,8FAD3ADD0,86.98,US Dollar,86.98,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:12:00,100417200,8016C7A20,85502F3E0,97AFF1EE0,20.99,US Dollar,20.99,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:27:00,800D06970,8016C7A70,83E2B0290,86352ECD0,140.29,US Dollar,140.29,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:07:00,800933C00,8016DB050,833372220,8DD0ECE70,7.31,US Dollar,7.31,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:27:00,8019B14A0,801CFE8F0,8387C34C0,9DC27EFF0,9.12,US Dollar,9.12,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:12:00,800E2FFD0,801CFE9C0,9138F5C00,93CDD17F0,113.09,US Dollar,113.09,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:13:00,80072D850,801EC1FC0,A35C80580,AEB74DF80,30.55,US Dollar,30.55,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:10:00,801E2A270,801EC4250,81EAAAC40,878BCE0A0,91.62,US Dollar,91.62,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:29:00,80103E440,802085B30,8731EC0B0,B13F7CE10,91.21,US Dollar,91.21,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:11:00,800228A70,80226DC20,80272F020,83076DBA0,7.11,US Dollar,7.11,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:22:00,800C4E970,80228BAB0,8731EC0B0,B13F7CE10,81.31,US Dollar,81.31,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:02:00,80072D850,8022919A0,8F55B5F10,90474EB00,33.65,US Dollar,33.65,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:26:00,80010BD60,80231F480,99D988CF0,AE15372E0,31.97,US Dollar,31.97,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:01:00,800B44D80,802341910,8E75A8230,96407EDE0,35.16,US Dollar,35.16,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:25:00,800A67B70,8023423B0,809A8B650,84B298C70,14.26,US Dollar,14.26,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:07:00,800BDE480,802356DF0,804E35880,8B8EAA410,42.2,US Dollar,42.2,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:21:00,800A67B70,802357710,810F8D650,A58DFAFB0,3.71,US Dollar,3.71,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:24:00,800898150,8023577B0,89CB7BF70,957BE93D0,19.57,US Dollar,19.57,US Dollar,Credit Card,0,0,1,1,0,0,0,1,0
2019-01-01 00:05:00,8021ADE00,80238F220,9A7F59FA0,A23691240,33.97,US Dollar,33.97,US Dollar,Credit Card,1,0,1,1,0,0,0,1,0
